n	N	estimacion	estimacion_se	estimacion_low	estimacion_upp	se	ind	des	mes	CLASE	nivel	periodicidad
57226	39153912.9999887	14113695.7650618	154351.477324205	13811166.0297484	14416225.5003752	127844.087519862	pffl	total	10	Nacional	nacional	Mensual
23543	17960470.9999974	6158262.86830913	107302.097898387	5947943.80783956	6368581.9287787	90308.7585661783	pffl	total	10	Nacional	13_ciudad	Mensual
73614	50694856.9999922	0.573629418999448	0.0036034145968445	0.566566740041836	0.580692097957059	0.00359173002861484	prob	ratio	11	Nacional	nacional	Mensual
28997	22285196.9999972	0.595313940550994	0.00538251539758876	0.584763963843698	0.605863917258291	0.00525822389012265	prob	ratio	11	Nacional	13_ciudad	Mensual
57167	39200003.9999915	0.0950075773270011	0.00264528262116547	0.0898228088845232	0.100192345769479	0.00279252562165109	tsd	ratio	11	Nacional	nacional	Mensual
23396	17979810.9999961	0.0910826476960596	0.00386217110228236	0.0835125397863779	0.0986527556057413	0.00436679035290162	tsd	ratio	11	Nacional	13_ciudad	Mensual
73614	50694856.9999922	22486275.5192911	208235.674943194	22078134.3853419	22894416.6532404	140795.831488629	tot_pob	total	11	Nacional	nacional	Mensual
28997	22285196.9999972	10703632.1367698	153668.561180268	10402434.7185846	11004829.5549549	94541.8717400898	tot_pob	total	11	Nacional	13_ciudad	Mensual
73614	50694856.9999922	2360645.79843144	68157.141969865	2227058.05839646	2494233.53846642	71084.7125324637	tot_deso	total	11	Nacional	nacional	Mensual
28997	22285196.9999972	1072611.44537552	47281.7226838894	979937.10333475	1165285.7874163	52475.036910139	tot_deso	total	11	Nacional	13_ciudad	Mensual
73614	50694856.9999922	0.633849968936941	0.00348686175047597	0.62701573311663	0.640684204757253	0.00352528903543817	tgp	ratio	11	Nacional	nacional	Mensual
28997	22285196.9999972	0.654970376615631	0.00517150779369991	0.644833984476451	0.665106768754812	0.00501267991845444	tgp	ratio	11	Nacional	13_ciudad	Mensual
57167	39200003.9999915	14353082.6822689	156719.663198287	14045911.2830525	14660254.0814853	138191.344290336	pffl	total	11	Nacional	nacional	Mensual
23396	17979810.9999961	6203567.41785077	108955.26868946	5990007.9665825	6417126.86911904	90127.0375373064	pffl	total	11	Nacional	13_ciudad	Mensual
72846	50739073.9999867	0.572512240469227	0.00373568738703289	0.56519030607471	0.579834174863744	0.00334769225753474	prob	ratio	12	Nacional	nacional	Mensual
28910	22302646.9999937	0.588211239501857	0.00561875148457186	0.577198227860546	0.599224251143168	0.00481515393853537	prob	ratio	12	Nacional	13_ciudad	Mensual
56665	39244837.9999888	0.102726787743597	0.00289588774043106	0.0970508308285154	0.108402744658679	0.00304170059801533	tsd	ratio	12	Nacional	nacional	Mensual
23338	17998606.9999939	0.108216866289417	0.00444516271154733	0.0995040555831205	0.116929676995713	0.00501804517261631	tsd	ratio	12	Nacional	13_ciudad	Mensual
72846	50739073.9999867	22468150.1302255	216674.988299085	22043467.9004528	22892832.3599981	131379.640320804	tot_pob	total	12	Nacional	nacional	Mensual
28910	22302646.9999937	10586982.9327732	157030.71947469	10279195.4916723	10894770.3738741	86666.0633841999	tot_pob	total	12	Nacional	13_ciudad	Mensual
72846	50739073.9999867	2572327.86835878	75724.6996375826	2423907.71823716	2720748.0184804	78573.2626574206	tot_deso	total	12	Nacional	nacional	Mensual
28910	22302646.9999937	1284718.30553377	55617.3483386221	1175705.74172953	1393730.86933801	62287.0556748766	tot_deso	total	12	Nacional	13_ciudad	Mensual
72846	50739073.9999867	0.63805787651847	0.00359606787536828	0.63100959588528	0.64510615715166	0.00326296963056851	tgp	ratio	12	Nacional	nacional	Mensual
28910	22302646.9999937	0.65959000262137	0.00536239977041746	0.649079452144253	0.670100553098487	0.0048114352320254	tgp	ratio	12	Nacional	13_ciudad	Mensual
56665	39244837.9999888	14204360.0014046	161708.934583291	13887409.5434625	14521310.4593467	128054.71455058	pffl	total	12	Nacional	nacional	Mensual
23338	17998606.9999939	6126905.76168691	113760.542370553	5903927.63111242	6349883.89226139	86599.131847179	pffl	total	12	Nacional	13_ciudad	Mensual
